
ԱԳՐԵՍԻԱ	 մեկ կամ մի քանի երկրների զինված հարձակում այլ երկրի կամ երկրների վրա նվաճողական նպատակներով: 
ԱՎՏՈՄԱՏ	 ինքնաձիգ հրազեն, որից հրաձգությունը վարում են ատրճանակային և հրացանային փամփուշտների միջև անցումային հանդիսացող փամփուշտներով: «Գրոհային հրացան» անվանումը (Sturmgewehr) գերմանացիները շրջանառության մեջ դրեցին 1944 թվականից, սակայն ԽՍՀՄ-ում նախընտրեցին կոչել «Ա.»: Այսպիսով, «Գրոհային հրացան» և «Ա.» տերմինները վերաբերվում են միևնույն զենքին: Ներկայումս սպառազինությունում գտնվող Ա. մեծ մասը մշակված է փոքր տրամաչափի 5,56 մմ (ՆԱՏՕ-ի) կամ 5,45 մմ (խորհրդային) փամփուշտներով: 7,62 մմ-ից ավելի փոքր տրամաչափի անցումը հնարավորություն տվեց նվազեցնել զենքի չափսերը և զանգվածը, իսկ կրվող զինապաշարն ավելացվեց 2-3 անգամ: Փոքր տրամաչափի գնդակը մինչև 400 մ հեռավորության վրա ունի ավելի բարձր մահաբեր գործունեություն, քանի որ գնդակը, թռիչքի ժամանակ պահպանելով կայունությունը, մարմնի հյուսվածքների մեջ ընկնելով կորցնում է այն` ծանր պատառոտված վերքեր հասցնելով մարդուն: Ա. (գրոհային հրացանների) զարգացման հիմնական ուղղություններն են. զենքի չափսերի նվազեցում «բուլփափ» սխեմայով նոր նմուշներ ստեղծելով, որտեղ փամփշտատուփը և հարվածաձգանային մեխանիզմի որոշ մասը տեղավորված են խզակոթի մեջ, իսկ խզակոթը գտնվում է փողանցքի առանցքի շարունակության վրա: 
ԱՎՏՈՄՈԲԻԼԱՅԻՆ ՏԵԽՆԻԿԱ	 զինված ուժերի մարտական և ամենօրյա գործունեությունն ապահովելու համար նախատեսված անվավոր և թրթուրավոր տեխնիկա: ԱՏ են համարվում ավտոմեքենաները, անվավոր և թրթուրավոր քարշակները, փոխադրիչները, ավտոկռունկները, վերանորոգման շարժական արհեստանոցները, տարհանման մեքենաները, կցորդիչները, կիսակցորդիչները ևն: 
ԱՏՐՃԱՆԱԿ	 ձեռքի փոքրիկ, կարճ հրազեն՝ փոքր հեռավորությունների վրա հրաձգության համար: Առաջին ատրճանակներն (կարճեցված պատրույգավոր հրացաններ) առաջացել են XVI դ. և հիմնականում կիրառվում էին հեծելազորի կողմից: Դրա համար էլ Ա. իր միջազգային անվան համար պարտավոր է իտալական «պիստալլո» բառին, որը նշանակում է թամբի առաջամաս, որտեղ ամրացվում էին այդ զենքերի պատյանները: Ժամանակակից հասկացողությամբ Ա. անհատական ավտոմատ հրազեն է, հիմնականում` ինքնաձիգ (ավտոմատ): Դրա շնորհիվ ատրճանակները բոլոր երկրների բանակների սպառազինությունից դուրս են մղել թմբուկավոր ռևոլվերները, որոնց կրակված պարկուճները մնում էին թմբուկի մեջ, իսկ պարկուճների հեռացումը և թմբուկի լիցքավորումը բավական ժամանակ են պահանջում, որն, ի դեպ, մարտադաշտում կարող է և չլինել: 
ԱՏՐՃԱՆԱԿ-ԳՆԴԱՑԻՐ	 ինքնաձիգ հրազեն, որից կրակում են ատրճանակային փամփուշտներով: Սակավազոր փամփուշտների շնորհիվ ունեն բավական պարզ կառուցվածք,  փոքր չափսեր և զանգված, դյուրին են սպասարկվում և շահագործվում: ԱԳ մեծ արդյունավետությամբ կիրառվել են 1930-ական թթ. Լատինական Ամերիկայի պետություններում ծագած բախումների ժամանակ և Երկրորդ աշխարհամարտի տարիներին: Այնուհետև անցումային փամփուշտների համար ստեղծված գրոհային հրացանները ԱԳ դուրս մղեցին հրաձգային ստորաբաժանումների սպառազինությունից: 
ԱՐԳԵԼԱՓԱԿՈՑ	 զորքերի առաջխաղացմանը խոչընդոտող կառույց, հարմարանք և ավերածություններ (փլուզումներ): Ստեղծվում են հակառակորդին կորուստներ պատճառելու, նրա տեղաշարժը և գործողությունները դժվարացնելու, զորաշարժը կաշկանդելու կամ սեփական զորքերի համար առավել նպաստավոր ուղղություններով նրան շարժվել հարկադրելու նպատակով: Ըստ բնույթի Ա. լինում են պայթյունային, ոչ պայթյունային, էլեկտրականացված և կոմբինացված, որի պատճառով մեր օրերում «Ա.» բառն ընդունված է կիրառել հոգնակի թվով: 
Ա. ԽՏՈՒԹՅՈՒՆ	 Ա. ընդհանուր երկարության հարաբերությունը ծածկվող ուղղության (գոտու, բնագծի, տեղամասի) ճակատի լայնությանը: 
Ա. ՀԱՂԹԱՀԱՐՈՒՄ	 զորքերի կազմակերպված անցումը արգելափակոցների, ավերածությունների, փլուզումների, բնական և արհեստական արգելքների միջով` դրանց շրջանցումը բացառելու դեպքում: 
ԱՐԿ	 հրետանային ռազմամթերք՝ հրանոթից կրակելու համար: Բաղկացած է իրանից, մարտական լիցքից և պայթուցիչից: 
ԱՐՇԱՎԱՆՔ 	 հարձակողական ռազմական գործողությունների տեսակ: Ներխուժում հակառակորդի կողմից վերահսկվող տարածք՝ առավել նպաստավոր պայմաններում պատերազմ վարելու ակնկալիքով, ինչպես նաև ավարառության կամ ասպատակության նպատակով: 
ԱՐՏԱԳՐՈՀ	 անակնկալ հարձակում հակառակորդի վրա՝ դիրքից, ամրությունից դուրս նետվելով:  
ԲԱԲԱՆ 	 պաշարողական մարտական գործիք՝ ամրությունների վրա քարեր նետելու կամ ուղղակի հարվածներ հասցնելու համար: 
ԲԱԼԻՍՏԱ	 գետնամերձ հրաձգության համար նախատեսված հին նետող մեքենա: Գործարկվել է հյուսված թելերի (ջլերի, պարանների, մազերի ևն) ճկունության շնորհիվ: Նախատեսված էր ամրոցների պատերը կործանելու և պաշտպաններին խոցելու համար: Կիրառվել են մինչև 500 կգ զանգվածով քարեր, սրածայր գերաններ, ծանր նետեր ևն: Նետման հեռավորությունը 200-1000 մ: 
ԲԱՆԱԳՆԱՑ	 հակառակորդի հետ բանակցություններ վարելու լիազորություններով օժտված հակամարտող որևէ կողմ ներկայացնող անձ: Բ. օգտվում է անձեռնմխելիության իրավունքից, տարբերանշանը՝ սպիտակ դրոշ: 
ԲԱՆԱԿ	 որևէ պետության զինված ուժերի ամբողջությունը: 
ԲԱՆԱԿԱԽՈՒՄԲ	 ինքնուրույն կամ ճակատի կազմով առանձին (մասնակի) օպերատիվ   խնդիրներ լուծելու նպատակով մի քանի զորատեսակների զորամասերից կամ միավորումներից կազմավորված ժամանակավոր զորամիավորում: Տրված առաջադրանքը կատարելուց հետո սովորավար Բ. կազմալուծվում էր: 
ԲԱՆԱԿԱՏԵՂ	 զորքերի կայան, կենտրոնացման շրջան: 
ԲԱՐԻԿԱԴ	 սովորաբար փողոցային մարտերի ժամանակ ձեռքի տակ եղած նյութերից  սարքավորվող արգելափակոց: Որոշ աղբյուրներում ներկայացվում է որպես ժողովրդական   զանգվածների կողմից օգտագործվող արգելափակոց ինքնապաշտպանական և հեղափոխական պայքարում: 
